episode,timestep,reward
9606,586000,12.4303
9639,588000,13.8258
9672,590000,12.6621
9704,592000,12.9406
9737,594000,12.6288
9770,596000,13.2606
9803,598000,12.2758
9836,600000,13.7045
9868,602000,13.8594
9901,604000,12.3258
9934,606000,13.2636
9967,608000,13.4682
9999,610000,12.9344
10032,612000,13.1636
10065,614000,12.8545
10098,616000,13.4303
10131,618000,12.8182
10163,620000,12.4109
10196,622000,12.0667
10229,624000,13.2288
10262,626000,11.9606
10295,628000,13.647
10327,630000,14.1953
10360,632000,12.5924
10393,634000,12.3379
10426,636000,12.1242
10459,638000,13.6682
10491,640000,13.7547
10524,642000,13.4212
10557,644000,13.4227
10590,646000,13.4167
10622,648000,13.6156
10655,650000,11.7091
10688,652000,13.7197
10721,654000,12.4636
10754,656000,13.9015
10786,658000,13.1297
10819,660000,12.9167
10852,662000,13.4742
10885,664000,13.0591
10918,666000,13.0439
10950,668000,13.6281
10983,670000,13.0288
11016,672000,13.1758
11049,674000,12.5818
11081,676000,13.5625
11114,678000,13.1909
11147,680000,14.0515
11180,682000,13.3621
11213,684000,12.4758
11245,686000,13.8469
11278,688000,14.0894
11311,690000,13.8833
11344,692000,13.7576
11377,694000,13.7076
11409,696000,13.3594
11442,698000,14.6939
11475,700000,14.6106
11508,702000,13.7439
11540,704000,13.5484
11573,706000,13.1636
11606,708000,13.0409
11639,710000,13.3848
11672,712000,14.197
11704,714000,14.5781
11737,716000,14.3318
11770,718000,14.5848
11803,720000,13.7106
11836,722000,13.4773
11868,724000,13.5516
11901,726000,13.6909
11934,728000,14.2333
11967,730000,13.7606
11999,732000,14.6406
12032,734000,14.0409
12065,736000,13.3379
12098,738000,14.1879
12131,740000,13.3394
12163,742000,14.325
12196,744000,14.5545
12229,746000,14.4909
12262,748000,14.353
12295,750000,14.3758
12327,752000,14.4563
12360,754000,14.2303
12393,756000,14.0076
12426,758000,13.8697
12459,760000,14.7152
12491,762000,13.4
12524,764000,13.2485
12557,766000,14.2742
12590,768000,14.6515
12622,770000,15.2641
12655,772000,14.2182
12688,774000,13.6621
12721,776000,14.5379
12754,778000,14.9288
12786,780000,14.5938
12819,782000,14.1606
12852,784000,14.4818
12885,786000,14.1333
12918,788000,14.5273
12950,790000,14.4453
12983,792000,14.1697
13016,794000,14.8636
13049,796000,14.4152
13081,798000,14.1844
13114,800000,14.6924
13147,802000,14.5818
13180,804000,13.853
13213,806000,14.0833
13245,808000,14.1734
13278,810000,14.2273
13311,812000,14.8848
13344,814000,14.1788
13377,816000,15.5833
13409,818000,14.5734
13442,820000,14.5803
13475,822000,14.6258
13508,824000,14.8485
13540,826000,14.2062
13573,828000,14.7576
13606,830000,14.8
13639,832000,14.5667
13672,834000,14.9636
13704,836000,15.1453
13737,838000,14.9667
13770,840000,14.4167
13803,842000,15.3848
13836,844000,14.0121
13868,846000,14.725
13901,848000,15.1379
13934,850000,14.8076
13967,852000,14.5364
13999,854000,14.0266
14032,856000,15.2182
14065,858000,14.9364
14098,860000,15.4606
14131,862000,15.2121
14163,864000,14.5875
14196,866000,14.8742
14229,868000,14.5106
14262,870000,14.5182
14295,872000,14.6348
14327,874000,14.6906
14360,876000,13.6258
14393,878000,14.5758
14426,880000,14.6606
14459,882000,14.9879
14491,884000,14.575
14524,886000,14.8606
14557,888000,14.653
14590,890000,14.8045
14622,892000,14.7469
14655,894000,14.497
14688,896000,15.0182
14721,898000,14.753
14754,900000,14.7379
14786,902000,14.6672
14819,904000,14.7985
14852,906000,14.7742
14885,908000,14.1848
14918,910000,13.9955
14950,912000,15.5375
14983,914000,13.9379
15016,916000,14.2015
15049,918000,14.3303
15081,920000,14.4844
15114,922000,15.2788
15147,924000,14.7182
15180,926000,14.8773
15213,928000,14.9561
15245,930000,14.8734
15278,932000,15.0288
15311,934000,15.0606
15344,936000,13.5788
15377,938000,14.6545
15409,940000,14.8422
15442,942000,14.8409
15475,944000,14.9197
15508,946000,15.053
15540,948000,15.0
15573,950000,14.7273
15606,952000,14.4879
15639,954000,14.5727
15672,956000,14.7667
15704,958000,14.6531
15737,960000,15.0121
15770,962000,14.4682
15803,964000,15.0667
15836,966000,15.5197
15868,968000,14.4016
15901,970000,13.8091
15934,972000,14.0985
15967,974000,15.147
15999,976000,15.0172
16032,978000,14.997
16065,980000,14.4955
16098,982000,15.2318
16131,984000,14.5894
16163,986000,14.6891
16196,988000,14.3212
16229,990000,14.7061
16262,992000,14.7864
16295,994000,14.2561
16327,996000,13.5922
16360,998000,15.0136
16393,1000000,14.4288
