episode,timestep,reward
8852,540000,-18.0788
8885,542000,-15.303
8918,544000,-18.2712
8950,546000,-22.8391
8983,548000,-29.5652
9016,550000,-19.5394
9049,552000,-19.95
9081,554000,-22.0234
9114,556000,-19.8621
9147,558000,-33.2197
9180,560000,-27.1879
9213,562000,-30.5621
9245,564000,-34.4531
9278,566000,-33.5894
9311,568000,-28.8621
9344,570000,-33.4894
9377,572000,-30.7288
9409,574000,-25.2672
9442,576000,-31.3576
9475,578000,-12.8636
9508,580000,-16.7879
9540,582000,-24.9531
9573,584000,-22.2288
9606,586000,-19.147
9639,588000,-12.0879
9672,590000,-32.6924
9704,592000,-34.1609
9737,594000,-36.9303
9770,596000,-26.2894
9803,598000,-31.4985
9836,600000,-34.6455
9868,602000,-20.7328
9901,604000,-5.6485
9934,606000,-26.9212
9967,608000,-28.2061
9999,610000,-25.6891
10032,612000,-17.2682
10065,614000,-19.1924
10098,616000,-22.9303
10131,618000,-31.8924
10163,620000,-20.3141
10196,622000,-29.5091
10229,624000,-12.2136
10262,626000,-30.8712
10295,628000,-21.2606
10327,630000,-11.725
10360,632000,-31.1924
10393,634000,-19.3182
10426,636000,-21.8758
10459,638000,-24.5288
10491,640000,-35.5125
10524,642000,-32.0879
10557,644000,-25.6091
10590,646000,-17.5909
10622,648000,-26.3047
10655,650000,-18.4545
10688,652000,-11.5576
10721,654000,-23.4909
10754,656000,-21.1636
10786,658000,-31.9656
10819,660000,-28.6273
10852,662000,-31.6303
10885,664000,-29.1485
10918,666000,-25.8439
10950,668000,-31.7953
10983,670000,-15.9409
11016,672000,-27.7879
11049,674000,-25.7091
11081,676000,-14.3
11114,678000,-30.6652
11147,680000,3.4409
11180,682000,-18.9424
11213,684000,-18.3712
11245,686000,-17.5641
11278,688000,-24.3242
11311,690000,-33.7
11344,692000,-24.253
11377,694000,-28.9015
11409,696000,-19.0922
11442,698000,-12.2712
11475,700000,-10.5333
11508,702000,-16.3758
11540,704000,-16.9234
11573,706000,-17.9091
11606,708000,-18.2288
11639,710000,-17.3924
11672,712000,-28.2409
11704,714000,-19.4531
11737,716000,-19.1455
11770,718000,-29.3621
11803,720000,-16.3803
11836,722000,-32.9455
11868,724000,-22.6359
11901,726000,-25.1924
11934,728000,-34.2439
11967,730000,-24.7045
11999,732000,-21.6828
12032,734000,-25.503
12065,736000,-21.5545
12098,738000,-24.3697
12131,740000,-41.0939
12163,742000,-25.4
12196,744000,-24.6985
12229,746000,-14.4121
12262,748000,-17.4
12295,750000,-12.0818
12327,752000,-10.2281
12360,754000,-15.6455
12393,756000,-22.8576
12426,758000,-22.8652
12459,760000,-30.0955
12491,762000,-21.4094
12524,764000,-28.497
12557,766000,-19.6515
12590,768000,-20.5061
12622,770000,-19.6344
12655,772000,-16.4894
12688,774000,-23.8379
12721,776000,-25.2939
12754,778000,-14.9197
12786,780000,-27.2203
12819,782000,-32.8303
12852,784000,-21.0197
12885,786000,-24.9682
12918,788000,-28.2924
12950,790000,-10.0922
12983,792000,-27.6788
13016,794000,-15.9439
13049,796000,-10.5591
13081,798000,-14.2078
13114,800000,-14.3894
13147,802000,-33.9303
13180,804000,-22.9682
13213,806000,-19.0242
13245,808000,-16.05
13278,810000,-24.5833
13311,812000,-31.65
13344,814000,-25.7258
13377,816000,-34.3561
13409,818000,-18.9469
13442,820000,-12.997
13475,822000,-15.1409
13508,824000,-18.2015
13540,826000,-25.6172
13573,828000,-21.3045
13606,830000,-9.7076
13639,832000,-9.6985
13672,834000,-15.35
13704,836000,-22.1703
13737,838000,-24.0682
13770,840000,-28.2061
13803,842000,-23.4242
13836,844000,-16.6848
13868,846000,-19.4781
13901,848000,-23.5091
13934,850000,-25.8848
13967,852000,-24.2212
13999,854000,-35.5016
14032,856000,-7.25
14065,858000,-24.3212
14098,860000,-14.5167
14131,862000,-27.5985
14163,864000,-26.6078
14196,866000,-28.0242
14229,868000,-28.9667
14262,870000,-29.0439
14295,872000,-14.1939
14327,874000,-25.8531
14360,876000,-27.8621
14393,878000,-24.6061
14426,880000,-18.9667
14459,882000,-8.3394
14491,884000,-27.4297
14524,886000,-12.553
14557,888000,-22.6258
14590,890000,-19.6727
14622,892000,-16.3922
14655,894000,-17.2955
14688,896000,-29.8197
14721,898000,-52.0803
14754,900000,-27.6424
14786,902000,-14.3187
14819,904000,-23.8924
14852,906000,-30.8939
14885,908000,-42.1182
14918,910000,-25.4136
14950,912000,-14.9766
14983,914000,-28.7955
15016,916000,-25.8697
15049,918000,-21.6667
15081,920000,-24.5766
15114,922000,-30.1136
15147,924000,-39.8848
15180,926000,-36.2909
15213,928000,-27.7545
15245,930000,-22.7828
15278,932000,-18.3576
15311,934000,-27.9879
15344,936000,-15.5273
15377,938000,-16.2727
15409,940000,-24.6937
15442,942000,-25.0258
15475,944000,-21.847
15508,946000,-16.3515
15540,948000,-16.5562
15573,950000,-8.7288
15606,952000,-34.6712
15639,954000,-10.9742
15672,956000,-16.3667
15704,958000,-14.2062
15737,960000,-14.4561
15770,962000,-32.4197
15803,964000,-10.6788
15836,966000,-34.4136
15868,968000,-24.4219
15901,970000,-33.0636
15934,972000,-23.5848
15967,974000,-19.1576
15999,976000,-26.8578
16032,978000,-26.4333
16065,980000,-18.003
16098,982000,-33.2818
16131,984000,-24.4197
16163,986000,-16.6703
16196,988000,-22.1939
16229,990000,-18.0258
16262,992000,-18.4758
16295,994000,-22.6758
16327,996000,-33.5078
16360,998000,-21.3727
16393,1000000,-27.6848
16426,1002000,-25.0667
16459,1004000,-23.7227
16491,1006000,-16.2719
16524,1008000,-30.8258
16557,1010000,-12.8667
16590,1012000,-26.9348
16622,1014000,-30.4062
16655,1016000,-11.5818
16688,1018000,-38.1167
16721,1020000,-21.0197
16754,1022000,-28.4879
16786,1024000,-24.6125
16819,1026000,-13.1591
16852,1028000,-14.4985
16885,1030000,-17.7788
16918,1032000,-15.5015
16950,1034000,-14.6828
16983,1036000,-50.6485
17016,1038000,-37.1288
17049,1040000,-21.8303
17081,1042000,-23.2688
17114,1044000,-23.6848
17147,1046000,-21.5591
17180,1048000,-18.2045
17213,1050000,-55.2773
17245,1052000,-27.5562
17278,1054000,-15.7636
17311,1056000,-26.1045
17344,1058000,-18.95
17377,1060000,-27.3758
17409,1062000,-20.5359
17442,1064000,-15.1909
17475,1066000,-14.0955
17508,1068000,-16.9879
17540,1070000,-34.5891
17573,1072000,-22.7318
17606,1074000,-22.0379
17639,1076000,-12.2212
17672,1078000,-24.7424
17704,1080000,-13.525
17737,1082000,-24.2197
17770,1084000,-30.053
17803,1086000,-23.4636
17836,1088000,-33.2939
17868,1090000,-4.4016
17901,1092000,-24.5439
17934,1094000,-23.4136
17967,1096000,-20.6591
17999,1098000,-25.1656
18032,1100000,-27.3258
18065,1102000,-27.6061
18098,1104000,-34.7106
18131,1106000,-28.4621
18163,1108000,-28.8625
18196,1110000,-19.8152
18229,1112000,-26.3409
18262,1114000,-31.0242
18295,1116000,-22.6424
18327,1118000,-23.9922
18360,1120000,-40.9697
18393,1122000,-33.3606
18426,1124000,-18.9091
18459,1126000,-37.6515
18491,1128000,-28.6781
18524,1130000,-13.6576
18557,1132000,-15.6455
18590,1134000,-35.9182
18622,1136000,-19.7719
18655,1138000,-22.7803
18688,1140000,-16.8803
18721,1142000,-7.95
18754,1144000,-17.953
18786,1146000,-21.4469
18819,1148000,-22.9909
18852,1150000,-34.8136
18885,1152000,-17.7379
18918,1154000,-22.1606
18950,1156000,-19.3719
18983,1158000,-18.4348
19016,1160000,-28.3652
19049,1162000,-19.2864
19081,1164000,-25.6969
19114,1166000,-19.0803
19147,1168000,-26.1333
19180,1170000,-22.8485
19213,1172000,-17.6121
19245,1174000,-27.4891
19278,1176000,-24.7924
19311,1178000,-16.3106
19344,1180000,-24.1318
19377,1182000,-19.1379
19409,1184000,-31.1234
19442,1186000,-45.0864
19475,1188000,-16.2379
19508,1190000,-23.5652
19540,1192000,-40.1703
19573,1194000,-15.8576
19606,1196000,-25.2182
19639,1198000,-14.5106
19672,1200000,-31.1621
19704,1202000,-26.4156
19737,1204000,-24.9212
19770,1206000,-16.7803
19803,1208000,-24.1364
19836,1210000,-31.6833
19868,1212000,-29.5266
19901,1214000,-31.0015
19934,1216000,-6.9712
19967,1218000,-30.4273
19999,1220000,-27.1453
20032,1222000,-16.5939
20065,1224000,-0.5424
20098,1226000,-26.2742
20131,1228000,-10.8439
20163,1230000,-17.1547
20196,1232000,-15.9303
20229,1234000,-21.1258
20262,1236000,-19.2773
20295,1238000,-24.2833
20327,1240000,-23.1125
20360,1242000,-12.5667
20393,1244000,-7.7879
20426,1246000,-22.5561
20459,1248000,-32.7424
20491,1250000,-30.6672
20524,1252000,-35.1318
20557,1254000,-23.0636
20590,1256000,-27.4015
20622,1258000,-23.7344
20655,1260000,-23.5561
20688,1262000,-17.4439
20721,1264000,-27.4758
20754,1266000,-32.1439
